id,name,city,website,type_id,active,zipcode
2576,de Monaco,MONACO,www.brasseriedemonaco.com,2,TRUE,98000
2577,Matavai,ARUE (Tahiti),,2,TRUE,98701
2578,Hoa,PAPEETE (Tahiti),www.hoa.pf,2,TRUE,98713
2579,Les 3 Brasseurs,PAPEETE (Tahiti),www.3brasseurs-pacific.com,2,TRUE,98713
2580,de Tahiti,PAPEETE (Tahiti),www.brasseriedetahiti.pf,2,TRUE,98713
2581,Brouss'Mousse,NOUMÉA (Nouvelle-Calédonie),,2,TRUE,98800
2582,de Nouvelle Calédonie,NOUMÉA (Nouvelle-Calédonie),www.gbnc.nc,2,TRUE,98800
2583,Neocallitropsis,NOUMÉA (Nouvelle-Calédonie),,2,TRUE,98800
2584,Le Froid,NOUMÉA (Nouvelle-Calédonie),lefroid.nc,2,TRUE,98800
2585,Les 3 Brasseurs,NOUMÉA (Nouvelle-Calédonie),www.cuenet.nc/3-brasseurs.html,2,TRUE,98800
